x,y
0.375,6.107
0.951,8.891
0.732,7.880
0.599,7.191
0.156,4.829
0.156,4.991
0.058,4.085
0.866,8.179
0.601,6.778
0.708,7.453
0.021,4.047
0.970,8.735
0.832,8.327
0.212,4.990
0.182,4.800
0.183,4.938
0.304,5.342
0.525,6.775
0.432,5.947
0.291,5.700
0.612,7.195
0.139,4.547
0.292,5.213
0.366,5.990
0.456,6.384
0.785,8.040
0.200,5.134
0.514,6.358
0.592,6.891
0.046,4.040
0.608,7.219
0.171,4.914
0.065,4.241
0.949,8.526
0.966,8.734
0.808,7.955
0.305,5.638
0.098,4.557
0.684,7.615
0.440,6.187
0.122,4.420
0.495,6.583
0.034,4.302
0.909,8.577
0.259,5.429
0.663,7.310
0.312,5.570
0.520,6.564
0.547,6.496
0.185,4.728
